"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",1,0.5,0.4,-1.54390389361936e-16,3.27862736959617e-16,4.80518402845576e-16,-4.57966997657877e-16,-6.16911036144252e-16,-8.2052420413703e-16,-3.61689844741164e-16
"2",0.5,1,0.5,0.399999999999999,-2.09901540593194e-16,-2.08166817117217e-17,-2.08166817117217e-16,-3.00540842212982e-16,-3.98986399474666e-17,-3.15719672627779e-16
"3",0.4,0.5,1,0.499999999999998,0.399999999999999,3.87710696880816e-16,-7.22946008613334e-16,-7.16657636012918e-16,-3.99853761212654e-16,-4.58183838092374e-16
"4",-1.31838984174237e-16,0.399999999999999,0.499999999999998,0.999999999999997,0.499999999999998,0.399999999999999,-4.5102810375397e-16,-2.42861286636753e-17,5.48172618408671e-16,5.84601811404184e-16
"5",3.6949610038306e-16,-1.76941794549634e-16,0.399999999999999,0.499999999999998,1,0.5,0.400000000000001,1.03389519168218e-15,-5.89805981832114e-17,1.09287578986539e-16
"6",4.80518402845576e-16,-5.20417042793042e-18,3.59955121265187e-16,0.399999999999999,0.5,1,0.500000000000001,0.400000000000001,4.47558656802016e-16,2.25514051876985e-16
"7",-3.81639164714898e-16,-2.42861286636753e-16,-7.31619625993218e-16,-5.06539254985228e-16,0.400000000000001,0.500000000000001,1,0.500000000000001,0.4,-2.1163626406917e-16
"8",-6.03033248336438e-16,-3.14418630020796e-16,-7.16711846121543e-16,-7.93635990259389e-17,1.13797860024079e-15,0.400000000000001,0.500000000000001,1,0.500000000000001,0.4
"9",-8.76035355368288e-16,-9.71445146547012e-17,-4.00721122950642e-16,4.96130914129367e-16,-1.07552855510562e-16,3.90312782094782e-16,0.4,0.500000000000001,1,0.5
"10",-3.89445420356793e-16,-3.22658566531686e-16,-4.73579508941668e-16,6.10622663543836e-16,1.17961196366423e-16,2.0643209364124e-16,-2.0643209364124e-16,0.4,0.500000000000001,0.999999999999999
